Cte;Data CT-e;Nota fiscal;Data.nf;Val.NF (BI AE);Coleta;Remetente;UF Rem.;CGC REM;Modalidade;Nome do DN;CGC DEST;N  DN;Cidade;UF Dest.;Qtde. Vol. da NF (BI J);P. Real do CTe (BI AF);P. Cub. do CTe (BI AG);Frete do CTe (BI AI);Prazo BID;PREVISAO DE ENTREGA;DATA DA ENTREGA;ATRASO;DIAS DE ATRASO;Justificado?;Cod;Justificativa;Evidenciado;Transp.;Ano;M s;Qtde. NFs do CTe;Staus;Data coleta transportador;POSSUE OCORRENCIA?;OBSERVAÇÃO;NOVA DATA PREV ENTREGA;Região;Transit Transportador2;AGING EMISSÃO NF;AGING EMISSÃO CTE;CTE 24 HRS;OTD DO CLIENTE (previsão X DATA DE ENTREGA);AGING DA PREVISÃO;WEEK DA PREVISÃO (SEMANA DO ANO);WEEK DA ENTREGA (SEMANA DO ANO);OTIF;TRANSPORTADORA REAL
1370;21/09/2026;278738/39;21/09/2026;6024,64;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;ICAVEL VEICULOS LTDA;84938430000220;;CASCAVEL;PR;1;48,3;331,58;668,25;5;26/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;5;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;2;39;;PENDENTE DE VALIDAÇÃO;
1387;22/09/2026;279677/39;22/09/2026;9808,12;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;AUTOPATOS CAMINHOES LTDA;20310249000100;;PATOS DE MINAS;MG;1;65,4;253,4;276,31;5;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FEDERAL TRANSP. LTDA;2026;9;1;;;;;;SUDESTE;5;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1373;21/09/2026;278983/39;21/09/2026;7951,86;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;MONACO DIESEL LTDA;5024583000104;;ANANINDEUA;PA;5;59,5;375,87;1478,72;10;01/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;NORTE;10;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;7;40;;PENDENTE DE VALIDAÇÃO;
1394;22/09/2026;279676/39;22/09/2026;38395,449;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;M. DIESEL CAMINHOES E ONIBUS LIMITADA;7811058000326;;SINOP;MT;2;280;1130,98;2168,3;9;01/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;CENTRO-OESTE;9;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;7;40;;PENDENTE DE VALIDAÇÃO;
1385;21/09/2026;278727/39;19/09/2026;12796,31;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;W BREITKOPF COMERCIO DE VEICULOS AUTOMO;82636754000105;;BLUMENAU;SC;4;90,6;286,61;746,66;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;6;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1412;24/09/2026;279056/39;21/09/2026;8530,87;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;AUTOMOB PARTICIPACOES S A;35654688001503;;SAO LEOPOLDO;RS;1;654;253,4;1522,25;7;01/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;SUL;7;3;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;7;40;;PENDENTE DE VALIDAÇÃO;
1425;24/09/2026;280340/39;23/09/2026;8530,87;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;R F COMERCIO DE CAMINHOES LTDA;78824224000105;;PALHOCA;SC;2;130;1130,98;2502,34;6;30/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;SUL;6;1;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;6;40;;PENDENTE DE VALIDAÇÃO;
1427;24/09/2026;279055/39;21/09/2026;6756,45;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;VIDECAR CAMINHOES LTDA.;75509307000111;;JOACABA;SC;1;60;253,4;665,8;6;30/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;SUL;6;3;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;6;40;;PENDENTE DE VALIDAÇÃO;
1374;21/09/2026;278748/39;21/09/2026;1310,7;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;MONACO DIESEL MACAPA LTDA;9597026000133;;MACAPA;AP;3;8,2;37,12;503,36;16;07/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;NORTE;16;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;13;41;;PENDENTE DE VALIDAÇÃO;
1399;23/09/2026;279637/39;21/09/2026;28796,59;23/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;M. DIESEL CAMINHOES E ONIBUS LTDA.;7811058000245;;RONDONOPOLIS;MT;1;223,8;563,325;1130,36;9;02/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;CENTRO-OESTE;9;3;1;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;8;40;;PENDENTE DE VALIDAÇÃO;
1382;21/09/2026;278725/39;19/09/2026;5020,54;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;SERVOPA CAMINHOES LTDA;298749000329;;SAO JOSE DOS PINHAIS;PR;1;43,5;331,58;567,53;5;26/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;5;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;2;39;;PENDENTE DE VALIDAÇÃO;
1411;24/09/2026;280255/39;23/09/2026;16548,05;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;AUTOBAHN CAMINHOES E ONIBUS LTDA.;1266272000109;;SERRA;ES;1;98,4;1453,54;1411,13;6;30/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;SUDESTE;6;1;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;6;40;;PENDENTE DE VALIDAÇÃO;
